2022/08/22 12:33:53 [error] 5208#20316: *48405 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=43&action=elementor"
2022/08/22 17:39:15 [alert] 20380#3632: OpenEvent("ngx_master_24180") failed (2: The system cannot find the file specified)
2022/08/24 10:44:58 [error] 25068#11288: *20954 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/categories?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10026", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:58 [error] 25068#11288: *20965 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/templates?context=edit&post_type=page&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10026", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:58 [error] 25068#11288: *20960 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10026", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20957 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20957 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20963 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20963 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20969 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/templates?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
2022/08/24 10:44:59 [error] 25068#11288: *20969 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/templates?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "translation-team-myanmar.local", referrer: "http://translation-team-myanmar.local/wp-admin/post.php?post=6&action=edit"
